run_at,text_variant,dataset_size,batch_size,change_ratio,run_index,full_reload_time_sec,incremental_time_sec,incremental_hashing_sec,incremental_load_sec,peak_memory_mb,incremental_to_full_ratio,speedup_vs_full,recommended_strategy,break_even_change_ratio
2026-06-10T14:03:16.054168+00:00,short,50000,5000,0.0,0,2.089339900001505,1.8764225999984774,0.17596479999701842,0.00030619999961345457,27.09102439880371,0.8980935079051167,1.1134698015272255,incremental_load,
2026-06-10T14:03:20.034999+00:00,short,50000,5000,0.01,0,2.089339900001505,1.9039761999993061,0.18957350000709994,0.008834000000206288,27.2298526763916,0.9112812137450371,1.0973561014062396,incremental_load,
2026-06-10T14:03:24.140839+00:00,short,50000,5000,0.05,0,2.089339900001505,1.943817899998976,0.19055449999359553,0.05309539999143453,27.745546340942383,0.9303502508125057,1.0748640086103776,incremental_load,
2026-06-10T14:03:28.218154+00:00,short,50000,5000,0.1,0,2.089339900001505,1.9390848000002734,0.16718150000087917,0.0775097999976424,28.079435348510742,0.928084894180634,1.0774876374675366,incremental_load,
2026-06-10T14:03:32.468884+00:00,short,50000,5000,0.2,0,2.089339900001505,2.0934535000014876,0.19258780000018305,0.15650030000324477,28.863283157348633,1.0019688515018448,0.998035017257379,full_reload,0.2
2026-06-10T14:03:36.789258+00:00,short,50000,5000,0.3,0,2.089339900001505,2.195060400001239,0.19294929999523447,0.2320570000083535,29.359498977661133,1.0505999526451668,0.9518370884009961,full_reload,0.2
2026-06-10T14:03:41.442378+00:00,short,50000,5000,0.4,0,2.089339900001505,2.382776999998896,0.19471249999696738,0.34895599999435944,31.356168746948242,1.1404448840503068,0.8768507921649711,full_reload,0.2
2026-06-10T14:03:46.156766+00:00,short,50000,5000,0.45,0,2.089339900001505,2.3074229000012565,0.18371159999878728,0.36291820000769803,31.314626693725586,1.1043788997661865,0.9054863328262744,full_reload,0.2
2026-06-10T14:03:50.756126+00:00,short,50000,5000,0.5,0,2.089339900001505,2.4998656999996456,0.2010735000076238,0.4807275999955891,31.852293014526367,1.1964858853257168,0.8357808581484203,full_reload,0.2
2026-06-10T14:03:55.254536+00:00,short,50000,5000,0.55,0,2.089339900001505,2.4113932000000204,0.19481489999816404,0.43327099999805796,32.10085868835449,1.1541411715720755,0.8664451322171297,full_reload,0.2
2026-06-10T14:04:00.076610+00:00,short,50000,5000,0.6,0,2.089339900001505,2.6180495000007795,0.19825270000001183,0.47177510000256007,32.34899711608887,1.2530510234351497,0.7980520994736284,full_reload,0.2
2026-06-10T14:04:04.960509+00:00,short,50000,5000,0.7,0,2.089339900001505,2.6076706999992894,0.19686209999053972,0.5651097000009031,32.84359550476074,1.2480835214975843,0.8012284296487568,full_reload,0.2
2026-06-10T14:04:09.735470+00:00,short,50000,5000,0.75,0,2.089339900001505,2.6340244999992137,0.1985878000014054,0.5938086000023759,32.80197715759277,1.2606969789823648,0.7932120221365173,full_reload,0.2
2026-06-10T14:04:14.535131+00:00,short,50000,5000,0.8,0,2.089339900001505,2.6470384999993257,0.17449940001097275,0.6366171000008762,33.33994102478027,1.2669257405161405,0.7893122446092256,full_reload,0.2
2026-06-10T14:04:19.727084+00:00,short,50000,5000,0.9,0,2.089339900001505,2.856446000001597,0.1988084999975399,0.7606003999972017,32.984578132629395,1.3671523719044179,0.7314473650124445,full_reload,0.2
2026-06-10T14:04:24.941564+00:00,short,50000,5000,1.0,0,2.089339900001505,2.8716848000003665,0.18785850000131177,0.8104756999964593,33.137436866760254,1.3744459673594984,0.7275658874543747,full_reload,0.2
2026-06-10T14:04:31.243129+00:00,short,50000,5000,0.0,1,2.166232500003389,1.9674280999970506,0.1934968999994453,0.00032249999640043825,27.091543197631836,0.9082257329229309,1.101047860405489,incremental_load,
2026-06-10T14:04:35.375431+00:00,short,50000,5000,0.01,1,2.166232500003389,1.9330712999981188,0.1934209999963059,0.008959700000559678,27.235536575317383,0.8923655701754519,1.1206169684509293,incremental_load,
2026-06-10T14:04:39.473468+00:00,short,50000,5000,0.05,1,2.166232500003389,1.9521855999992113,0.19204540000282577,0.052283799999713665,27.744443893432617,0.90118932293563,1.1096447489440882,incremental_load,
2026-06-10T14:04:43.581889+00:00,short,50000,5000,0.1,1,2.166232500003389,1.978834999998071,0.19122049999714363,0.07769510000798618,28.368314743041992,0.9134915111812676,1.0947009225152682,incremental_load,
2026-06-10T14:04:47.734014+00:00,short,50000,5000,0.2,1,2.166232500003389,2.0693226999974286,0.18655529999159626,0.15219649999926332,28.57515525817871,0.9552634354780437,1.0468316517313034,incremental_load,
2026-06-10T14:04:52.219605+00:00,short,50000,5000,0.3,1,2.166232500003389,2.212613899999269,0.17308060000141268,0.24406350000208477,29.360265731811523,1.0214110904511902,0.9790377345112513,full_reload,0.3
2026-06-10T14:04:56.701187+00:00,short,50000,5000,0.4,1,2.166232500003389,2.330992499999411,0.19044189999840455,0.3413357000063115,31.357027053833008,1.0760583178378889,0.9293176618989277,full_reload,0.3
