run_at,detection_method,dataset_size,text_variant,batch_size,change_ratio,run_index,hashing_time_sec,load_time_sec,total_time_sec,peak_memory_mb,records_updated,db_writes
2026-06-10T16:40:45.174274+00:00,hash_or_timestamp,50000,long,5000,0.1,0,0.31363800001417985,0.18611719998443732,20.69559709999885,73.68926334381104,5000,5000
2026-06-10T16:41:27.690696+00:00,hash_only,50000,long,5000,0.1,0,0.31480009999359027,0.2232746999943629,20.699994599999627,73.97871398925781,5000,5000
2026-06-10T16:42:09.986714+00:00,timestamp_only,50000,long,5000,0.1,0,0.1827860999983386,0.20078719998855377,20.562052300003415,72.36202430725098,5000,5000
2026-06-10T16:42:52.697809+00:00,hash_or_timestamp,50000,long,5000,0.1,1,0.30703739999444224,0.25218640000821324,20.82830329999706,73.97781944274902,5000,5000
2026-06-10T16:43:35.477034+00:00,hash_only,50000,long,5000,0.1,1,0.31731730001047254,0.24724440000136383,20.85576669999864,73.97970676422119,5000,5000
2026-06-10T16:44:18.035992+00:00,timestamp_only,50000,long,5000,0.1,1,0.17137989998445846,0.2552570000043488,20.66996510000172,72.3240737915039,5000,5000
2026-06-10T16:45:00.978802+00:00,hash_or_timestamp,50000,long,5000,0.1,2,0.3034219999972265,0.2749340999798733,20.840541700003087,73.97852420806885,5000,5000
2026-06-10T16:45:44.547517+00:00,hash_only,50000,long,5000,0.1,2,0.3169322999965516,0.28818840000167256,20.846360500006995,73.68908023834229,5000,5000
2026-06-10T16:46:27.547280+00:00,timestamp_only,50000,long,5000,0.1,2,0.18127439999807393,0.27045499999803724,20.85346639999625,72.36255741119385,5000,5000
2026-06-10T16:47:10.481739+00:00,hash_or_timestamp,50000,long,5000,0.1,3,0.3221845000080066,0.27205170001252554,20.811970999995538,73.97937107086182,5000,5000
2026-06-10T16:47:53.386350+00:00,hash_only,50000,long,5000,0.1,3,0.31800389999261824,0.27339869999559596,20.78587880000123,73.97787284851074,5000,5000
2026-06-10T16:48:36.253928+00:00,timestamp_only,50000,long,5000,0.1,3,0.1822630000024219,0.2486873999951058,20.667947000001732,72.36355018615723,5000,5000
2026-06-10T16:49:19.535078+00:00,hash_or_timestamp,50000,long,5000,0.1,4,0.3151822999934666,0.33077569998567924,20.91133489999629,73.94037532806396,5000,5000
2026-06-10T16:50:02.979084+00:00,hash_only,50000,long,5000,0.1,4,0.31209709998074686,0.29644160000316333,20.895889499995974,73.97879123687744,5000,5000
2026-06-10T16:50:45.822330+00:00,timestamp_only,50000,long,5000,0.1,4,0.1815252999876975,0.2518889999919338,20.61192519999895,72.0728931427002,5000,5000
